State FIPS,R County FIPS Code,R State Name,R County,R Metropolitan Statistical Area FIPS Code,R  Metropolitan Statistical Area of County,State FIPS Code,County FIPS Code,State Name,County,Metropolitan Statistical Area FIPS Code,Metropolitan Statistical Area of County,travel_mode,workers_in
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,250
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,45
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,1
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,106
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,9
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,41,California,Marin,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,34
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,55,California,Napa,34900,"Napa, CA", Drove alone,26
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,55,California,Napa,34900,"Napa, CA",Public transportation,10
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,639
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,118
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Public transportation,222
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,494
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Drove alone,866
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA", Carpooled,245
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Public transportation,23
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,85,California,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",Other travel mode,172
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Drove alone,105
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA", Carpooled,36
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA",Public transportation,9
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",6,97,California,Sonoma,42220,"Santa Rosa, CA",Other travel mode,7
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",36,81,New York,Queens County,35620,"New York-Newark-Jersey City, NY-NJ-PA", Drove alone,48
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",36,81,New York,Queens County,35620,"New York-Newark-Jersey City, NY-NJ-PA",Public transportation,33
6,37,California,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",36,81,New York,Queens County,35620,"New York-Newark-Jersey City, NY-NJ-PA",Other travel mode,15
6,39,California,Madera County,31460,"Madera, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,27
6,39,California,Madera County,31460,"Madera, CA",6,1,California,Alameda,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,25
6,39,California,Madera County,31460,"Madera, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,58
6,39,California,Madera County,31460,"Madera, CA",6,13,California,Contra Costa,41860,"San Francisco-Oakland-Hayward, CA",Other travel mode,30
6,39,California,Madera County,31460,"Madera, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Drove alone,26
6,39,California,Madera County,31460,"Madera, CA",6,75,California,San Francisco,41860,"San Francisco-Oakland-Hayward, CA", Carpooled,38
